,dataset_size,subset_size,coverage_threshold,#females,#questions,result,m
0,1000,50.0,50.0,50.0,300.725,1.0,0.300725
1,6000,50.0,50.0,50.0,360.65,1.0,0.060108333333333326
2,11000,50.0,50.0,50.0,417.1,1.0,0.03791818181818182
3,16000,50.0,50.0,50.0,502.725,1.0,0.0314203125
4,21000,50.0,50.0,50.0,572.85,1.0,0.02727857142857143
5,26000,50.0,50.0,50.0,703.35,1.0,0.027051923076923078
6,31000,50.0,50.0,50.0,742.1,1.0,0.023938709677419356
7,36000,50.0,50.0,50.0,840.8928571428571,1.0,0.023358134920634918
8,41000,50.0,50.0,50.0,947.55,1.0,0.023110975609756095
9,46000,50.0,50.0,50.0,1025.15,1.0,0.022285869565217394
10,51000,50.0,50.0,50.0,1131.15,1.0,0.022179411764705885
11,56000,50.0,50.0,50.0,1147.65,1.0,0.02049375
12,61000,50.0,50.0,50.0,1305.8,1.0,0.02140655737704918
13,66000,50.0,50.0,50.0,1350.3,1.0,0.02045909090909091
14,71000,50.0,50.0,50.0,1477.3,1.0,0.020807042253521126
15,76000,50.0,50.0,50.0,1535.25,1.0,0.02020065789473684
16,81000,50.0,50.0,50.0,1654.6,1.0,0.02042716049382716
17,86000,50.0,50.0,50.0,1748.65,1.0,0.02033313953488372
18,91000,50.0,50.0,50.0,1874.4,1.0,0.0205978021978022
19,96000,50.0,50.0,50.0,1967.5,1.0,0.020494791666666668
20,101000,50.0,50.0,50.0,2052.0,1.0,0.020316831683168318
21,106000,50.0,50.0,50.0,2118.55,1.0,0.019986320754716982
22,111000,50.0,50.0,50.0,2301.05,1.0,0.02073018018018018
23,116000,50.0,50.0,50.0,2391.25,1.0,0.020614224137931035
24,121000,50.0,50.0,50.0,2434.05,1.0,0.02011611570247934
25,126000,50.0,50.0,50.0,2508.6,1.0,0.019909523809523808
26,131000,50.0,50.0,50.0,2557.9,1.0,0.019525954198473285
27,136000,50.0,50.0,50.0,2716.2,1.0,0.01997205882352941
28,141000,50.0,50.0,50.0,2801.9,1.0,0.01987163120567376
29,146000,50.0,50.0,50.0,2942.9,1.0,0.020156849315068493
30,151000,50.0,50.0,50.0,3040.85,1.0,0.020138079470198675
31,156000,50.0,50.0,50.0,3123.6,1.0,0.02002307692307692
32,161000,50.0,50.0,50.0,3200.6,1.0,0.01987950310559006
33,166000,50.0,50.0,50.0,3309.3,1.0,0.0199355421686747
34,171000,50.0,50.0,50.0,3358.45,1.0,0.019640058479532162
35,176000,50.0,50.0,50.0,3493.7,1.0,0.01985056818181818
36,181000,50.0,50.0,50.0,3585.7,1.0,0.01981049723756906
37,186000,50.0,50.0,50.0,3713.8,1.0,0.019966666666666667
38,191000,50.0,50.0,50.0,3775.1,1.0,0.019764921465968584
39,196000,50.0,50.0,50.0,3962.25,1.0,0.020215561224489795
40,201000,50.0,50.0,50.0,3983.65,1.0,0.01981915422885572
41,206000,50.0,50.0,50.0,4098.65,1.0,0.01989635922330097
42,211000,50.0,50.0,50.0,4168.0,1.0,0.01975355450236967
43,216000,50.0,50.0,50.0,4271.25,1.0,0.019774305555555555
44,221000,50.0,50.0,50.0,4401.4,1.0,0.019915837104072395
45,226000,50.0,50.0,50.0,4450.4,1.0,0.019692035398230088
46,231000,50.0,50.0,50.0,4575.3,1.0,0.019806493506493508
47,236000,50.0,50.0,50.0,4699.9,1.0,0.019914830508474576
48,241000,50.0,50.0,50.0,4743.45,1.0,0.019682365145228215
49,246000,50.0,50.0,50.0,4910.15,1.0,0.019959959349593496
50,251000,50.0,50.0,50.0,4996.0,1.0,0.01990438247011952
51,256000,50.0,50.0,50.0,5095.85,1.0,0.0199056640625
52,261000,50.0,50.0,50.0,5194.25,1.0,0.01990134099616858
53,266000,50.0,50.0,50.0,5291.1,1.0,0.019891353383458647
54,271000,50.0,50.0,50.0,5360.9,1.0,0.019781918819188192
55,276000,50.0,50.0,50.0,5438.55,1.0,0.019704891304347827
56,281000,50.0,50.0,50.0,5541.3,1.0,0.019719928825622776
57,286000,50.0,50.0,50.0,5665.2,1.0,0.019808391608391606
58,291000,50.0,50.0,50.0,5736.45,1.0,0.019712886597938142
59,296000,50.0,50.0,50.0,5843.65,1.0,0.01974206081081081
60,301000,50.0,50.0,50.0,5968.75,1.0,0.019829734219269105
61,306000,50.0,50.0,50.0,6042.75,1.0,0.019747549019607843
62,311000,50.0,50.0,50.0,6159.85,1.0,0.019806591639871383
63,316000,50.0,50.0,50.0,6295.05,1.0,0.01992104430379747
64,321000,50.0,50.0,50.0,6264.15,1.0,0.01951448598130841
65,326000,50.0,50.0,50.0,6475.8,1.0,0.01986441717791411
66,331000,50.0,50.0,50.0,6607.45,1.0,0.019962084592145015
67,336000,50.0,50.0,50.0,6604.85,1.0,0.019657291666666667
68,341000,50.0,50.0,50.0,6686.35,1.0,0.019608064516129033
69,346000,50.0,50.0,50.0,6794.9,1.0,0.01963843930635838
70,351000,50.0,50.0,50.0,6941.95,1.0,0.019777635327635327
71,356000,50.0,50.0,50.0,7040.6,1.0,0.019776966292134834
72,361000,50.0,50.0,50.0,7134.65,1.0,0.019763573407202216
73,366000,50.0,50.0,50.0,7228.35,1.0,0.019749590163934426
74,371000,50.0,50.0,50.0,7312.3,1.0,0.01970970350404313
75,376000,50.0,50.0,50.0,7447.75,1.0,0.019807845744680853
76,381000,50.0,50.0,50.0,7504.9,1.0,0.01969790026246719
77,386000,50.0,50.0,50.0,7561.7,1.0,0.019589896373056994
78,391000,50.0,50.0,50.0,7708.65,1.0,0.019715217391304347
79,396000,50.0,50.0,50.0,7797.0,1.0,0.01968939393939394
80,401000,50.0,50.0,50.0,7859.0,1.0,0.01959850374064838
81,406000,50.0,50.0,50.0,7969.2,1.0,0.01962857142857143
82,411000,50.0,50.0,50.0,8081.3,1.0,0.019662530413625305
83,416000,50.0,50.0,50.0,8243.2,1.0,0.019815384615384617
84,421000,50.0,50.0,50.0,8264.1,1.0,0.019629691211401425
85,426000,50.0,50.0,50.0,8385.95,1.0,0.019685328638497656
86,431000,50.0,50.0,50.0,8443.05,1.0,0.019589443155452434
87,436000,50.0,50.0,50.0,8621.65,1.0,0.019774426605504585
