dataset_size,subset_size,coverage_threshold,#females,#questions,result
1000,50,50,50,324,True
1000,50,50,50,287,True
1000,50,50,50,282,True
1000,50,50,50,273,True
1000,50,50,50,362,True
1000,50,50,50,353,True
1000,50,50,50,298,True
1000,50,50,50,288,True
1000,50,50,50,278,True
1000,50,50,50,321,True
1000,50,50,50,335,True
1000,50,50,50,271,True
1000,50,50,50,266,True
1000,50,50,50,242,True
1000,50,50,50,273,True
1000,50,50,50,218,True
1000,50,50,50,296,True
1000,50,50,50,297,True
1000,50,50,50,299,True
1000,50,50,50,236,True
6000,50,50,50,351,True
6000,50,50,50,273,True
6000,50,50,50,282,True
6000,50,50,50,447,True
6000,50,50,50,399,True
6000,50,50,50,414,True
6000,50,50,50,241,True
6000,50,50,50,311,True
6000,50,50,50,399,True
6000,50,50,50,294,True
6000,50,50,50,209,True
6000,50,50,50,330,True
6000,50,50,50,318,True
6000,50,50,50,317,True
6000,50,50,50,337,True
6000,50,50,50,335,True
6000,50,50,50,334,True
6000,50,50,50,504,True
6000,50,50,50,298,True
6000,50,50,50,276,True
11000,50,50,50,532,True
11000,50,50,50,325,True
11000,50,50,50,219,True
11000,50,50,50,434,True
11000,50,50,50,295,True
11000,50,50,50,268,True
11000,50,50,50,607,True
11000,50,50,50,336,True
11000,50,50,50,533,True
11000,50,50,50,393,True
11000,50,50,50,372,True
11000,50,50,50,355,True
11000,50,50,50,394,True
11000,50,50,50,495,True
11000,50,50,50,426,True
11000,50,50,50,585,True
11000,50,50,50,462,True
11000,50,50,50,329,True
11000,50,50,50,438,True
11000,50,50,50,517,True
16000,50,50,50,388,True
16000,50,50,50,599,True
16000,50,50,50,398,True
16000,50,50,50,453,True
16000,50,50,50,446,True
16000,50,50,50,394,True
16000,50,50,50,549,True
16000,50,50,50,452,True
16000,50,50,50,589,True
16000,50,50,50,623,True
16000,50,50,50,547,True
16000,50,50,50,453,True
16000,50,50,50,464,True
16000,50,50,50,477,True
16000,50,50,50,588,True
16000,50,50,50,379,True
16000,50,50,50,454,True
16000,50,50,50,564,True
16000,50,50,50,609,True
16000,50,50,50,666,True
21000,50,50,50,497,True
21000,50,50,50,549,True
21000,50,50,50,548,True
21000,50,50,50,475,True
21000,50,50,50,563,True
21000,50,50,50,574,True
21000,50,50,50,561,True
21000,50,50,50,570,True
21000,50,50,50,475,True
21000,50,50,50,810,True
21000,50,50,50,450,True
21000,50,50,50,601,True
21000,50,50,50,631,True
21000,50,50,50,605,True
21000,50,50,50,772,True
21000,50,50,50,407,True
21000,50,50,50,654,True
21000,50,50,50,512,True
21000,50,50,50,564,True
21000,50,50,50,552,True
26000,50,50,50,610,True
26000,50,50,50,886,True
26000,50,50,50,783,True
26000,50,50,50,796,True
26000,50,50,50,728,True
26000,50,50,50,608,True
26000,50,50,50,694,True
26000,50,50,50,701,True
26000,50,50,50,629,True
26000,50,50,50,516,True
26000,50,50,50,676,True
26000,50,50,50,879,True
26000,50,50,50,510,True
26000,50,50,50,516,True
26000,50,50,50,742,True
26000,50,50,50,742,True
26000,50,50,50,651,True
26000,50,50,50,777,True
26000,50,50,50,589,True
26000,50,50,50,737,True
31000,50,50,50,767,True
31000,50,50,50,784,True
31000,50,50,50,839,True
31000,50,50,50,836,True
31000,50,50,50,762,True
31000,50,50,50,675,True
31000,50,50,50,644,True
31000,50,50,50,612,True
31000,50,50,50,746,True
31000,50,50,50,583,True
31000,50,50,50,741,True
31000,50,50,50,739,True
31000,50,50,50,565,True
31000,50,50,50,769,True
31000,50,50,50,618,True
31000,50,50,50,813,True
31000,50,50,50,834,True
31000,50,50,50,760,True
31000,50,50,50,773,True
31000,50,50,50,892,True
36000,50,50,50,1040,True
36000,50,50,50,710,True
36000,50,50,50,1022,True
36000,50,50,50,712,True
36000,50,50,50,849,True
36000,50,50,50,717,True
36000,50,50,50,756,True
36000,50,50,50,820,True
36000,50,50,50,736,True
36000,50,50,50,837,True
36000,50,50,50,918,True
36000,50,50,50,828,True
36000,50,50,50,830,True
36000,50,50,50,755,True
36000,50,50,50,763,True
36000,50,50,50,805,True
36000,50,50,50,935,True
36000,50,50,50,716,True
36000,50,50,50,794,True
36000,50,50,50,826,True
41000,50,50,50,1126,True
41000,50,50,50,1076,True
41000,50,50,50,1197,True
41000,50,50,50,871,True
41000,50,50,50,782,True
41000,50,50,50,1029,True
41000,50,50,50,873,True
41000,50,50,50,938,True
41000,50,50,50,849,True
41000,50,50,50,941,True
41000,50,50,50,1103,True
41000,50,50,50,863,True
41000,50,50,50,935,True
41000,50,50,50,920,True
41000,50,50,50,884,True
41000,50,50,50,842,True
41000,50,50,50,886,True
41000,50,50,50,1050,True
41000,50,50,50,866,True
41000,50,50,50,920,True
46000,50,50,50,953,True
46000,50,50,50,1191,True
46000,50,50,50,907,True
46000,50,50,50,1193,True
46000,50,50,50,1172,True
46000,50,50,50,930,True
46000,50,50,50,966,True
46000,50,50,50,935,True
46000,50,50,50,1239,True
46000,50,50,50,1050,True
46000,50,50,50,954,True
46000,50,50,50,908,True
46000,50,50,50,956,True
46000,50,50,50,1165,True
46000,50,50,50,1030,True
46000,50,50,50,982,True
46000,50,50,50,990,True
46000,50,50,50,915,True
46000,50,50,50,992,True
46000,50,50,50,1075,True
51000,50,50,50,1066,True
51000,50,50,50,1252,True
51000,50,50,50,1107,True
51000,50,50,50,1007,True
51000,50,50,50,1035,True
51000,50,50,50,1194,True
51000,50,50,50,1194,True
51000,50,50,50,1239,True
51000,50,50,50,1007,True
51000,50,50,50,1066,True
51000,50,50,50,1028,True
51000,50,50,50,1159,True
51000,50,50,50,1014,True
51000,50,50,50,1242,True
51000,50,50,50,1206,True
51000,50,50,50,1173,True
51000,50,50,50,1173,True
51000,50,50,50,1243,True
51000,50,50,50,1150,True
51000,50,50,50,1068,True
56000,50,50,50,1085,True
56000,50,50,50,1084,True
56000,50,50,50,1057,True
56000,50,50,50,1205,True
56000,50,50,50,1113,True
56000,50,50,50,1186,True
56000,50,50,50,1150,True
56000,50,50,50,1178,True
56000,50,50,50,1303,True
56000,50,50,50,1218,True
56000,50,50,50,1224,True
56000,50,50,50,1101,True
56000,50,50,50,1216,True
56000,50,50,50,988,True
56000,50,50,50,1162,True
56000,50,50,50,1114,True
56000,50,50,50,1152,True
56000,50,50,50,1085,True
56000,50,50,50,1100,True
56000,50,50,50,1232,True
61000,50,50,50,1507,True
61000,50,50,50,1271,True
61000,50,50,50,1199,True
61000,50,50,50,1235,True
61000,50,50,50,1150,True
61000,50,50,50,1393,True
61000,50,50,50,1444,True
61000,50,50,50,1206,True
61000,50,50,50,1388,True
61000,50,50,50,1205,True
61000,50,50,50,1287,True
61000,50,50,50,1330,True
61000,50,50,50,1300,True
61000,50,50,50,1276,True
61000,50,50,50,1616,True
61000,50,50,50,1224,True
61000,50,50,50,1215,True
61000,50,50,50,1192,True
61000,50,50,50,1294,True
61000,50,50,50,1384,True
66000,50,50,50,1358,True
66000,50,50,50,1310,True
66000,50,50,50,1412,True
66000,50,50,50,1310,True
66000,50,50,50,1304,True
66000,50,50,50,1316,True
66000,50,50,50,1407,True
66000,50,50,50,1589,True
66000,50,50,50,1276,True
66000,50,50,50,1448,True
66000,50,50,50,1410,True
66000,50,50,50,1277,True
66000,50,50,50,1256,True
66000,50,50,50,1372,True
66000,50,50,50,1407,True
66000,50,50,50,1401,True
66000,50,50,50,1344,True
66000,50,50,50,1274,True
66000,50,50,50,1284,True
66000,50,50,50,1251,True
71000,50,50,50,1751,True
71000,50,50,50,1486,True
71000,50,50,50,1352,True
71000,50,50,50,1642,True
71000,50,50,50,1511,True
71000,50,50,50,1451,True
71000,50,50,50,1481,True
71000,50,50,50,1403,True
71000,50,50,50,1395,True
