dataset_size,subset_size,coverage_threshold,#females,#questions,result
100000,5,50,50,19728,True
100000,5,50,50,19599,True
100000,5,50,50,19930,True
100000,5,50,50,19359,True
100000,5,50,50,19246,True
100000,5,50,50,19739,True
100000,5,50,50,19914,True
100000,5,50,50,20024,True
100000,5,50,50,19903,True
100000,5,50,50,19633,True
100000,5,50,50,18610,True
100000,5,50,50,19387,True
100000,5,50,50,18858,True
100000,5,50,50,19811,True
100000,5,50,50,19706,True
100000,5,50,50,19852,True
100000,5,50,50,19443,True
100000,5,50,50,19889,True
100000,5,50,50,19017,True
100000,5,50,50,20003,True
100000,5,50,50,19861,True
100000,5,50,50,19884,True
100000,5,50,50,19860,True
100000,5,50,50,20068,True
100000,5,50,50,20000,True
100000,5,50,50,19288,True
100000,5,50,50,19860,True
100000,5,50,50,19672,True
100000,5,50,50,19525,True
100000,5,50,50,19333,True
100000,5,50,50,19807,True
100000,5,50,50,19998,True
100000,5,50,50,19967,True
100000,5,50,50,18958,True
100000,5,50,50,19410,True
100000,5,50,50,19137,True
100000,5,50,50,19768,True
100000,5,50,50,19905,True
100000,5,50,50,19567,True
100000,5,50,50,19890,True
100000,5,50,50,19679,True
100000,5,50,50,19669,True
100000,5,50,50,19910,True
100000,5,50,50,19571,True
100000,5,50,50,19823,True
100000,5,50,50,19906,True
100000,5,50,50,18518,True
100000,5,50,50,19680,True
100000,5,50,50,19847,True
100000,5,50,50,19693,True
100000,6,50,50,16581,True
100000,6,50,50,16506,True
100000,6,50,50,16352,True
100000,6,50,50,15977,True
100000,6,50,50,16599,True
100000,6,50,50,16512,True
100000,6,50,50,16593,True
100000,6,50,50,16626,True
100000,6,50,50,16058,True
100000,6,50,50,16058,True
100000,6,50,50,16697,True
100000,6,50,50,15821,True
100000,6,50,50,16195,True
100000,6,50,50,16034,True
100000,6,50,50,16649,True
100000,6,50,50,16577,True
100000,6,50,50,16184,True
100000,6,50,50,16718,True
100000,6,50,50,15322,True
100000,6,50,50,16374,True
100000,6,50,50,16418,True
100000,6,50,50,16327,True
100000,6,50,50,16707,True
100000,6,50,50,16497,True
100000,6,50,50,16579,True
100000,6,50,50,16234,True
100000,6,50,50,15852,True
100000,6,50,50,16538,True
100000,6,50,50,16020,True
100000,6,50,50,16404,True
100000,6,50,50,16316,True
100000,6,50,50,16310,True
100000,6,50,50,16620,True
100000,6,50,50,16542,True
100000,6,50,50,16508,True
100000,6,50,50,16071,True
100000,6,50,50,16165,True
100000,6,50,50,16633,True
100000,6,50,50,16131,True
100000,6,50,50,16479,True
100000,6,50,50,16378,True
100000,6,50,50,16155,True
100000,6,50,50,16088,True
100000,6,50,50,16614,True
100000,6,50,50,15938,True
100000,6,50,50,16570,True
100000,6,50,50,16253,True
100000,6,50,50,16524,True
100000,6,50,50,16353,True
100000,6,50,50,16312,True
100000,7,50,50,14215,True
100000,7,50,50,14075,True
100000,7,50,50,14132,True
100000,7,50,50,14218,True
100000,7,50,50,14110,True
100000,7,50,50,13902,True
100000,7,50,50,14405,True
100000,7,50,50,13847,True
100000,7,50,50,14122,True
100000,7,50,50,13762,True
100000,7,50,50,13975,True
100000,7,50,50,14229,True
100000,7,50,50,13587,True
100000,7,50,50,14045,True
100000,7,50,50,14039,True
100000,7,50,50,14249,True
100000,7,50,50,14274,True
100000,7,50,50,14046,True
100000,7,50,50,14040,True
100000,7,50,50,14259,True
100000,7,50,50,14033,True
100000,7,50,50,13957,True
100000,7,50,50,14138,True
100000,7,50,50,13485,True
100000,7,50,50,13997,True
100000,7,50,50,13852,True
100000,7,50,50,13797,True
100000,7,50,50,13822,True
100000,7,50,50,13500,True
100000,7,50,50,13430,True
100000,7,50,50,13928,True
100000,7,50,50,13959,True
100000,7,50,50,14077,True
100000,7,50,50,14166,True
100000,7,50,50,13975,True
100000,7,50,50,14119,True
100000,7,50,50,14225,True
100000,7,50,50,14234,True
100000,7,50,50,14082,True
100000,7,50,50,13326,True
100000,7,50,50,12641,True
100000,7,50,50,13917,True
100000,7,50,50,14279,True
100000,7,50,50,14215,True
100000,7,50,50,13956,True
100000,7,50,50,13147,True
100000,7,50,50,14178,True
100000,7,50,50,14288,True
100000,7,50,50,14270,True
100000,7,50,50,13514,True
100000,8,50,50,12270,True
100000,8,50,50,12371,True
100000,8,50,50,12134,True
100000,8,50,50,12284,True
100000,8,50,50,12463,True
100000,8,50,50,12144,True
100000,8,50,50,12445,True
100000,8,50,50,12331,True
100000,8,50,50,12480,True
100000,8,50,50,12121,True
100000,8,50,50,12418,True
100000,8,50,50,12298,True
100000,8,50,50,12278,True
100000,8,50,50,12080,True
100000,8,50,50,11875,True
100000,8,50,50,12365,True
100000,8,50,50,12285,True
100000,8,50,50,12553,True
100000,8,50,50,12340,True
100000,8,50,50,12022,True
100000,8,50,50,12457,True
100000,8,50,50,12453,True
100000,8,50,50,10953,True
100000,8,50,50,12460,True
100000,8,50,50,12441,True
100000,8,50,50,12040,True
100000,8,50,50,12444,True
100000,8,50,50,12495,True
100000,8,50,50,12375,True
100000,8,50,50,12199,True
100000,8,50,50,12409,True
100000,8,50,50,12370,True
100000,8,50,50,12300,True
